2025-03-20 15:45:03,679 - ROISystem - INFO - 선택된 ROI 표시: id=1, 원본좌표=(274, 154), 변환좌표=(1431, 804)
2025-03-20 15:45:11,098 - ROISystem - INFO - ROI 목록 초기화 완료 (제품 ID: 002)
2025-03-20 15:45:11,100 - ROISystem - INFO - 총 3개의 ROI를 로드했습니다
2025-03-20 15:45:15,612 - ROISystem - INFO - ROI 목록 초기화 완료 (제품 ID: 002)
2025-03-20 15:45:15,614 - ROISystem - INFO - 총 3개의 ROI를 로드했습니다
2025-03-20 15:45:23,422 - ROISystem - INFO - 선택된 ROI 표시: id=10, 원본좌표=(274, 154), 변환좌표=(468, 263)
2025-03-20 15:45:23,773 - ROISystem - INFO - 선택된 ROI 표시: id=12, 원본좌표=(470, 133), 변환좌표=(802, 227)
2025-03-20 15:45:24,125 - ROISystem - INFO - 선택된 ROI 표시: id=11, 원본좌표=(174, 302), 변환좌표=(297, 515)
2025-03-20 15:45:31,589 - matplotlib - DEBUG - matplotlib data path: C:\Users\ddumc\miniconda3\envs\youngdo\lib\site-packages\matplotlib\mpl-data
2025-03-20 15:45:31,593 - matplotlib - DEBUG - CONFIGDIR=C:\Users\ddumc\.matplotlib
2025-03-20 15:45:31,595 - matplotlib - DEBUG - interactive is False
2025-03-20 15:45:31,596 - matplotlib - DEBUG - platform is win32
2025-03-20 15:45:31,918 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\BRADHITC.TTF', name='Bradley Hand ITC', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-20 15:45:31,918 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\STENCIL.TTF', name='Stencil', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-20 15:45:31,918 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\segoeuib.ttf', name='Segoe UI', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-03-20 15:45:31,919 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\HMFMMUEX.TTC', name='MoeumT R', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-20 15:45:31,919 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\HANBatangExtBB.ttf', name='HCR Batang ExtB', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-03-20 15:45:31,919 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\FRADMCN.TTF', name='Franklin Gothic Demi Cond', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2025-03-20 15:45:31,919 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LTYPEO.TTF', name='Lucida Sans Typewriter', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-03-20 15:45:31,919 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\PAPYRUS.TTF', name='Papyrus', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-20 15:45:31,920 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\GLECB.TTF', name='Gloucester MT Extra Condensed', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2025-03-20 15:45:31,920 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\SegUIVar.ttf', name='Segoe UI Variable', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-20 15:45:31,920 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LATINWD.TTF', name='Wide Latin', style='normal', variant='normal', weight=400, stretch='expanded', size='scalable')) = 10.25
2025-03-20 15:45:31,920 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\segoeuisl.ttf', name='Segoe UI', style='normal', variant='normal', weight=350, stretch='normal', size='scalable')) = 10.0975
2025-03-20 15:45:31,921 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\calibrii.ttf', name='Calibri', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-03-20 15:45:31,921 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\TCCEB.TTF', name='Tw Cen MT Condensed Extra Bold', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 10.25
2025-03-20 15:45:31,921 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\corbell.ttf', name='Corbel', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 10.145
